case,diagnostic_png,down_source,down_target,error,eye_over_mouth_norm,final_similarity_scale,method,nose_over_mouth_norm,nose_weighted_median,pre_scale,qc_pass,report_json,rigid_scale,runtime_sec,similarity_median,similarity_p90,source_nose_anchor_distance,target_fit_vertices,target_roi_vertices,upside_down,vertical_z,voxel
005_1_neutral,,1586,2040,,-0.1880406406254477,0.31316430004486595,facecrop_bbox_prescale_only,0.00709080805140494,0.056038660416091395,0.31316430004486595,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_1_neutral/005_1_neutral_scratch_surface_registration_report.json,0.31316430004486595,3.6171555519104004,0.08917091596122145,0.19091070340878377,0.21526098492369755,90000,230536,1,-0.24976038516813306,0.017835492240983814
005_20_brow_lower,,1508,2040,,-0.4737655991165634,0.3107500900570012,facecrop_fpfh_ransac,-0.22764913573248974,0.012166792594322571,0.30656188224377456,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_20_brow_lower/005_20_brow_lower_scratch_surface_registration_report.json,0.3107500900570012,1.9369022846221924,0.032414262535281256,0.13451195353962275,0.2926803223309261,90000,230536,1,-0.8128960468561428,0.017835492240983814
005_20_brow_lower,,1508,2040,,-0.5249036337628566,0.31075009005700227,facecrop_fpfh_ransac_icp,-0.24924339875156892,0.014577426593249319,0.30656188224377456,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_20_brow_lower/005_20_brow_lower_scratch_surface_registration_report.json,0.31075009005700227,2.246487855911255,0.014385126106798573,0.043634543162501906,0.21734974253993783,90000,230536,1,-0.8756547757049482,0.017835492240983814
005_20_brow_lower,,1508,2040,,-0.5404279730811293,0.3065618822437746,facecrop_fpfh_fgr,-0.23895406996366655,0.0279984606590134,0.30656188224377456,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_20_brow_lower/005_20_brow_lower_scratch_surface_registration_report.json,0.3065618822437746,2.577331781387329,0.020187446448794204,0.06255373830344875,0.2658322685080381,90000,230536,1,-0.9286273491986589,0.017835492240983814
005_20_brow_lower,,1508,2040,,-0.54188639262164,0.3065618822437775,facecrop_fpfh_fgr_icp,-0.24078194599316946,0.021889089863317942,0.30656188224377456,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_20_brow_lower/005_20_brow_lower_scratch_surface_registration_report.json,0.3065618822437775,2.8899149894714355,0.015612515360918719,0.04305168151996086,0.2078694868085922,90000,230536,1,-0.9225262378482586,0.017835492240983814
005_20_brow_lower,,1508,2040,,0.11575626787358895,0.30656188224377456,facecrop_bbox_prescale_only,0.1631565564074123,0.09179396717835989,0.30656188224377456,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_20_brow_lower/005_20_brow_lower_scratch_surface_registration_report.json,0.30656188224377456,3.5937068462371826,0.0919154493136648,0.17803598827812203,0.23284329332608777,90000,230536,1,0.1489990753100772,0.017835492240983814
005_2_smile,,1537,2040,,-0.44998890410830555,0.3080333225964956,facecrop_fpfh_ransac,-0.1853535616846529,0.020755191763472663,0.3113876201223423,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_2_smile/005_2_smile_scratch_surface_registration_report.json,0.3080333225964956,2.2634594440460205,0.04003811441297296,0.15667990600638182,0.16863945152080367,90000,230536,1,-0.9448658576708122,0.017835492240983814
005_2_smile,,1537,2040,,-0.5291265343628645,0.30803332259649713,facecrop_fpfh_ransac_icp,-0.23163511113456883,0.01893054682341059,0.3113876201223423,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_2_smile/005_2_smile_scratch_surface_registration_report.json,0.30803332259649713,2.55749249458313,0.01557305756870137,0.03997541546409873,0.18157192069776024,90000,230536,1,-0.9060572297987782,0.017835492240983814
005_2_smile,,1537,2040,,0.5182370189691933,0.3113876201223424,facecrop_fpfh_fgr,0.2429554971348186,0.07355674788089045,0.3113876201223423,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_2_smile/005_2_smile_scratch_surface_registration_report.json,0.3113876201223424,2.9702768325805664,0.08526130683517313,0.18937037815805835,0.27031026969786215,90000,230536,0,0.9005881649726789,0.017835492240983814
005_2_smile,,1537,2040,,0.5307123728600347,0.31138762012234444,facecrop_fpfh_fgr_icp,0.22900153758155808,0.03153013540025161,0.3113876201223423,0,${PAPERFIT_ROOT}/research_rigid_upright_hardgate_3case_20260619/005_2_smile/005_2_smile_scratch_surface_registration_report.json,0.31138762012234444,3.3289198875427246,0.0693648805420621,0.28048200748548874,0.25211637322993385,90000,230536,0,0.9250076446631291,0.017835492240983814
